source_file,AnnotatedStopPointRef_CommonName,AnnotatedStopPointRef_Location_Latitude,AnnotatedStopPointRef_Location_Longitude,AnnotatedStopPointRef_StopPointRef
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Post Office,51.520114,-0.516764,040000001811
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Thorney Lane South,51.504926,-0.502409,040000005040
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Sunnymeads, Welley Road, Park Avenue",51.466093,-0.561202,036006457457
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Junior School,51.520928,-0.513566,040000001813
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,King's Church,51.520735,-0.508283,040000001815
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Chequers Orchard,51.520621,-0.507119,040000001845
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,The Fox & Pheasant PH,51.517281,-0.503322,040000001848
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Richings Park,51.507782,-0.504020,040000001844
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Sutton Lane North,51.500330,-0.527747,03700096
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Sutton Court Farm,51.496358,-0.529387,03700476
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Sutton Place,51.489543,-0.534547,03700093
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Crown Close,51.485608,-0.529791,03700156
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Moreland Avenue,51.483981,-0.531946,03700304
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Village Green,51.473991,-0.543185,036006003197
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Noble Palace,51.472628,-0.555899,036006466466
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,The Drive,51.463160,-0.561769,036006459459
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Primary School,51.458014,-0.561629,036006002213
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Wraysbury, Windsor Road, The George",51.456890,-0.558627,036006002455
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Wraysbury, High Street, The Perseverance",51.457405,-0.553731,036006473474
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Douglas Lane,51.458939,-0.548386,036006763763
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Wraysbury, Station Road, Railway Station",51.458445,-0.541132,036006477477
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Coppermill Road South,51.462744,-0.534704,036006478479
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Coppermill Road Pier,51.464372,-0.533342,036006501501
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Coppermill Road North,51.467700,-0.531234,036006001200
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Wraysbury, Coppermill Road, Stanwell Road",51.469766,-0.530304,036006503503
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Golden Cross,51.471472,-0.517778,03700564
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Colndale Road,51.475718,-0.517048,03700302
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Poyle Road Junction,51.479750,-0.513044,03700165
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Galleymead Road,51.479385,-0.509801,03700167
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Moor Bridge,51.479120,-0.499460,490010009E
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Terminal 5,51.471127,-0.489560,49001643012
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Heathrow Terminal 5,51.470663,-0.489844,49001643020
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,Newbury Road  Compass Centre,51.481098,-0.465910,490010197E
WNGS_A60_WNGSPK113586242A60_20250618_-_57b992f3-c52c-4e3a-ac9c-b6b5c32c9d33.xml,"Heathrow, Central Bus Station",51.471540,-0.452590,490008016S
WNGS_BL1_WNGSUZ0000HCLBL1BL1_20250312_-_f59c3213-7316-4cb7-8076-a536068376db.xml,Bedfont Lakes,51.447901,-0.444370,490003787W
WNGS_BL1_WNGSUZ0000HCLBL1BL1_20250312_-_f59c3213-7316-4cb7-8076-a536068376db.xml,Feltham Railway Station,51.447887,-0.411141,490001107A
WNGS_BL1_WNGSUZ0000HCLBL1BL1_20250312_-_f59c3213-7316-4cb7-8076-a536068376db.xml,Bedfont Lakes,51.447996,-0.444064,490003787S
